Time stamp,Time & date,Current L1,Current L2,Current L3,Voltage L1,Voltage L2,Voltage L3,kW L1,kW L2,kW L3,Apparent power,Ture Power,Reactive power,Power factor,Power factor L1,Power factor L2,Power factor L3,kWh,kVAh,Hourly kVA,Daily kVA,Hourly kW,Daily kW
"""2021-05-17T00:31:36.939Z""",17/5/2021 8:31,25.6,0,16.2,235.6,236.4,238.8,5.3,0,3.4,10,8.7,4.8,0.877,0.883,1,0.867,5618,6145,0.0608,0.0608,0.0536,0.0536
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:31:46.947Z""",17/5/2021 8:31,25.2,0,15.8,235.4,236.2,238.6,5.3,0,3.3,9.9,8.7,4.7,0.879,0.885,1,0.87,5618,6145,0.0882,0.0882,0.0776,0.0776
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:31:56.947Z""",17/5/2021 8:31,24.3,0,15.8,236.3,237.3,239.4,5.2,0,3.3,9.7,8.5,4.6,0.877,0.883,1,0.866,5618,6145,0.1152,0.1152,0.1012,0.1012
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:32:06.956Z""",17/5/2021 8:32,24.6,0,16,236.1,236.9,239.1,4.8,0,3.3,9.5,8.1,5,0.851,0.844,1,0.862,5618,6145,0.1416,0.1416,0.1236,0.1236
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:32:16.950Z""",17/5/2021 8:32,24.3,0,15.8,236.1,237.1,239.3,4.9,0,3.3,9.6,8.2,5,0.853,0.845,1,0.864,5618,6145,0.1684,0.1684,0.1463,0.1463
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:32:26.946Z""",17/5/2021 8:32,28.1,0,20,235.5,236.6,238.9,4.8,0,3.3,9.5,8.1,5,0.852,0.844,1,0.863,5618,6145,0.1948,0.1948,0.1687,0.1687
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:32:36.955Z""",17/5/2021 8:32,28.1,0,20,235.8,237,239.1,5.8,0,4.2,11.4,10,4.8,0.9,0.884,1,0.921,5618,6145,0.2264,0.2264,0.1964,0.1964
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:32:46.968Z""",17/5/2021 8:32,28.1,0,19.9,235.6,236.6,238.9,5.7,0,4.2,11.4,9.9,5,0.894,0.879,1,0.915,5618,6145,0.2581,0.2581,0.2239,0.2239
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:32:56.978Z""",17/5/2021 8:32,24.3,0,15.7,235.8,236.6,238.8,5.7,0,4.2,11.4,9.9,4.9,0.896,0.879,1,0.917,5618,6145,0.2898,0.2898,0.2515,0.2515
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:33:06.991Z""",17/5/2021 8:33,28.1,0,20,235.3,236.4,238.6,4.8,0,3.2,9.5,8.1,4.9,0.853,0.845,1,0.865,5618,6145,0.3161,0.3161,0.2739,0.2739
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:33:37.001Z""",17/5/2021 8:33,26.1,0,15.8,235.8,236.7,239.2,6.3,0,4.2,11.8,10.4,4.7,0.91,0.904,1,0.92,5618,6145,0.4172,0.4172,0.3622,0.3622
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:33:57.025Z""",17/5/2021 8:33,35,0,25.5,235,236,238.6,6.5,0,4.5,10,11,4.8,0.917,0.909,1,0.928,5618,6145,0.4791,0.4791,0.4167,0.4167
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:34:07.035Z""",17/5/2021 8:34,32.9,0,23.3,235.4,236.4,239.1,6.5,0,4.6,14.3,11.1,8.5,0.795,0.805,1,0.784,5618,6145,0.5188,0.5188,0.4477,0.4477
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:34:17.044Z""",17/5/2021 8:34,29.8,0,20.3,235.3,236.3,238.8,6.4,0,4.5,13.3,10.9,7.2,0.834,0.837,1,0.829,5619,6145,0.5558,0.5558,0.478,0.478
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:34:27.033Z""",17/5/2021 8:34,29.7,0,20.1,235.7,236.7,239.3,5.6,0,3.6,11.9,9.3,7.4,0.783,0.801,1,0.755,5619,6145,0.5888,0.5888,0.5037,0.5037
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:34:37.045Z""",17/5/2021 8:34,29.6,0,19.9,235.6,236.6,239.1,5.6,0,3.6,11.8,9.2,7.4,0.779,0.799,1,0.749,5619,6145,0.6216,0.6216,0.5291,0.5291
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:34:47.071Z""",17/5/2021 8:34,29.7,0,19.9,235.6,236.6,239.2,5.5,0,3.5,11.7,9.1,7.4,0.778,0.798,1,0.746,5619,6146,0.6541,0.6541,0.5544,0.5544
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:34:57.065Z""",17/5/2021 8:34,29,0,19,235.5,236.6,239,5.6,0,3.6,11.8,9.2,7.3,0.785,0.804,1,0.755,5619,6146,0.6869,0.6869,0.58,0.58
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:35:07.060Z""",17/5/2021 8:35,24.5,0,14.1,236.1,237.1,239.6,5.6,0,3.5,11.4,9.1,6.8,0.801,0.818,1,0.774,5619,6146,0.7184,0.7184,0.6052,0.6052
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:35:17.085Z""",17/5/2021 8:35,24.6,0,14.1,236.1,237,239.5,5.3,0,3.2,9.2,8.5,3.1,0.94,0.931,1,0.954,5619,6146,0.7438,0.7438,0.6288,0.6288
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:35:27.065Z""",17/5/2021 8:35,28.9,0,19,235.8,236.9,239.4,5.4,0,3.2,9.2,8.6,3.1,0.941,0.932,1,0.955,5619,6146,0.7694,0.7694,0.6528,0.6528
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:35:37.091Z""",17/5/2021 8:35,32.7,0,22.8,235.6,236.6,239.3,6.3,0,4.2,11.4,10.5,3,0.961,0.947,1,0.978,5619,6146,0.8009,0.8009,0.6818,0.6818
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:35:57.083Z""",17/5/2021 8:35,24.6,0,14.2,236.1,237,239.6,6.1,0,4,13.2,10.1,3.1,0.958,0.944,1,0.976,5619,6146,0.8679,0.8679,0.7405,0.7405
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:36:07.093Z""",17/5/2021 8:36,33,0,23.1,235.2,236.2,239,5.4,0,3.2,9.4,8.8,3.1,0.944,0.934,1,0.956,5619,6146,0.8935,0.8935,0.7644,0.7644
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:36:17.103Z""",17/5/2021 8:36,26.2,0,16,236.1,237,239.7,6.4,0,4.3,13.7,11.5,6.4,0.876,0.878,1,0.947,5619,6146,0.9265,0.9265,0.7939,0.7939
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:36:27.099Z""",17/5/2021 8:36,27.8,0,17.6,235.9,237,239.6,5.3,0,3,9,8.4,3.1,0.939,0.93,1,0.952,5619,6146,0.9512,0.9512,0.817,0.817
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:36:37.104Z""",17/5/2021 8:36,25.4,0,14.8,236.1,237,239.6,5.7,0,3.5,10.9,10.1,3,0.96,0.947,1,0.968,5619,6146,0.979,0.979,0.8427,0.8427
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:36:47.119Z""",17/5/2021 8:36,24.2,0,13.8,236.2,237.1,239.7,5.3,0,3,9,8.4,3.2,0.935,0.927,1,0.952,5619,6146,1.0037,1.0037,0.8658,0.8658
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:37:07.139Z""",17/5/2021 8:37,29.6,0,19.1,235.2,236.1,238.8,5.3,0,3.1,9,8.4,3.1,0.938,0.93,1,0.952,5619,6146,1.0538,1.0538,0.9126,0.9126
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:37:17.131Z""",17/5/2021 8:37,30.2,0,19.4,235.2,236,238.9,5.9,0,3.7,11.5,9.6,6.3,0.834,0.846,1,0.816,5619,6146,1.0859,1.0859,0.9393,0.9393
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:37:27.147Z""",17/5/2021 8:37,25.8,0,14.1,235.8,236.7,239.6,6.5,0,4,11.8,9.6,6.6,0.843,0.87,1,0.799,5619,6146,1.1212,1.1212,0.9683,0.9683
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:37:37.158Z""",17/5/2021 8:37,25.3,0,13.4,235.9,236.8,239.7,5.8,0,3.2,9.5,9,2.8,0.954,0.953,1,0.955,5619,6146,1.1475,1.1475,0.9933,0.9933
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:37:47.169Z""",17/5/2021 8:37,25.3,0,13.4,235.9,236.7,239.5,5.7,0,3,9.2,8.7,2.8,0.952,0.952,1,0.952,5619,6146,1.1731,1.1731,1.0175,1.0175
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:37:57.179Z""",17/5/2021 8:37,25.4,0,13.4,235.7,236.6,239.4,5.7,0,3,9.2,8.7,2.8,0.952,0.952,1,0.952,5619,6146,1.1986,1.1986,1.0417,1.0417
,,,,,,,,,,,,,,,,,,,,,,,
"""2021-05-17T00:38:07.193Z""",17/5/2021 8:38,25.3,0,13.4,235.9,236.8,239.6,5.7,0,3,9.2,8.7,2.8,0.952,0.952,1,0.952,5619,6146,1.2242,1.2242,1.0659,1.0659
,,,,,,,,,,,,,,,,,,,,,,,
